 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016 102  1.002  -0.00  201.52   -5.89   23.55  125.74
 2016 103  1.002  -0.00  202.50   -5.81   10.41  126.72
 2016 104  1.003  -0.00  203.48   -5.74  357.20  127.70
 2016 105  1.003  -0.00  204.46   -5.66  344.00  128.69
 2016 106  1.003  -0.00  205.44   -5.58  330.79  129.67
 2016 107  1.004  -0.00  206.42   -5.50  317.58  130.65
 2016 108  1.004  -0.00  207.39   -5.42  304.38  131.63
 2016 109  1.004  -0.00  208.37   -5.34  291.17  132.60
 2016 110  1.004  -0.00  209.35   -5.26  277.96  133.58
 2016 111  1.005  -0.00  210.33   -5.17  264.75  134.56
 2016 112  1.005  -0.00  211.30   -5.08  251.54  135.54
 2016 113  1.005  -0.00  212.28   -5.00  238.32  136.51
 2016 114  1.005  -0.00  213.25   -4.91  225.11  137.48
 2016 115  1.006  -0.00  214.23   -4.81  211.90  138.46
 2016 116  1.006  -0.00  215.20   -4.72  198.68  139.43
 2016 117  1.006  -0.00  216.17   -4.63  185.47  140.40
 2016 118  1.007  -0.00  217.15   -4.53  172.25  141.38
 2016 119  1.007  -0.00  218.12   -4.44  159.03  142.35
 2016 120  1.007  -0.00  219.09   -4.34  145.82  143.32
 2016 121  1.007  -0.00  220.06   -4.24  132.60  144.28
 2016 122  1.008  -0.00  221.03   -4.14  119.38  145.25
 2016 123  1.008  -0.00  222.00   -4.04  106.16  146.22
 2016 124  1.008  -0.00  222.97   -3.94   93.00  147.19
 2016 125  1.008  -0.00  223.94   -3.83   79.78  148.15
 2016 126  1.009  -0.00  224.91   -3.73   66.56  149.12
 2016 127  1.009  -0.00  225.88   -3.62   53.33  150.08
 2016 128  1.009  -0.00  226.85   -3.52   40.11  151.05
 2016 129  1.009  -0.00  227.82   -3.41   26.89  152.01
 2016 130  1.010  -0.00  228.78   -3.30   13.66  152.97
 2016 131  1.010  -0.00  229.75   -3.19    0.44  153.94
 2016 132  1.010  -0.00  230.72   -3.08  347.21  154.90
 2016 133  1.010  -0.00  231.68   -2.97  333.98  155.86
 2016 134  1.010  -0.00  232.65   -2.86  320.76  156.82
 2016 135  1.011  -0.00  233.61   -2.75  307.53  157.78
 2016 136  1.011  -0.00  234.58   -2.64  294.30  158.74
 2016 137  1.011  -0.00  235.54   -2.52  281.07  159.70
 2016 138  1.011  -0.00  236.51   -2.41  267.84  160.65
 2016 139  1.012  -0.00  237.47   -2.29  254.61  161.61
 2016 140  1.012  -0.00  238.43   -2.18  241.38  162.57
 2016 141  1.012  -0.00  239.40   -2.06  228.15  163.52
 2016 142  1.012  -0.00  240.36   -1.95  214.92  164.48
 2016 143  1.012  -0.00  241.32   -1.83  201.68  165.43
 2016 144  1.013  -0.00  242.28   -1.71  188.51  166.39
 2016 145  1.013  -0.00  243.24   -1.59  175.28  167.34
 2016 146  1.013  -0.00  244.20   -1.48  162.05  168.30
 2016 147  1.013  -0.00  245.16   -1.36  148.81  169.25
 2016 148  1.013  -0.00  246.12   -1.24  135.58  170.20
 2016 149  1.013  -0.00  247.08   -1.12  122.34  171.16
 2016 150  1.014  -0.00  248.04   -1.00  109.11  172.11
 2016 151  1.014  -0.00  249.00   -0.88   95.87  173.06
 2016 152  1.014  -0.00  249.96   -0.76   82.64  174.01
 2016 153  1.014  -0.00  250.92   -0.64   69.40  174.96
 2016 154  1.014  -0.00  251.88   -0.52   56.16  175.91
 2016 155  1.014  -0.00  252.84   -0.40   42.92  176.86
 2016 156  1.014  -0.00  253.79   -0.28   29.69  177.81
 2016 157  1.015  -0.00  254.75   -0.16   16.45  178.76
 2016 158  1.015  -0.00  255.71   -0.04    3.21  179.71
 2016 159  1.015  -0.00  256.66    0.08  349.97  180.66
 2016 160  1.015  -0.00  257.62    0.20  336.73  181.61
 2016 161  1.015  -0.00  258.58    0.32  323.50  182.56
 2016 162  1.015  -0.00  259.53    0.45  310.26  183.51
