 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  0.720   3.23  184.86   -3.62  359.32  108.88
 2016   2  0.720   3.20  186.48   -3.58  346.75  110.50
 2016   3  0.721   3.16  188.10   -3.54  334.24  112.12
 2016   4  0.721   3.13  189.71   -3.50  321.67  113.73
 2016   5  0.721   3.09  191.33   -3.45  309.10  115.35
 2016   6  0.721   3.05  192.95   -3.41  296.53  116.96
 2016   7  0.721   3.01  194.56   -3.35  283.95  118.58
 2016   8  0.721   2.96  196.17   -3.30  271.38  120.19
 2016   9  0.721   2.91  197.79   -3.24  258.81  121.81
 2016  10  0.721   2.86  199.40   -3.18  246.23  123.42
 2016  11  0.722   2.81  201.01   -3.12  233.65  125.03
 2016  12  0.722   2.75  202.62   -3.06  221.08  126.64
 2016  13  0.722   2.70  204.23   -2.99  208.50  128.25
 2016  14  0.722   2.64  205.84   -2.92  195.92  129.86
 2016  15  0.722   2.58  207.45   -2.85  183.34  131.47
 2016  16  0.722   2.52  209.06   -2.78  170.76  133.08
 2016  17  0.722   2.45  210.66   -2.70  158.18  134.68
 2016  18  0.722   2.38  212.27   -2.62  145.60  136.29
 2016  19  0.723   2.31  213.88   -2.54  133.02  137.89
 2016  20  0.723   2.24  215.48   -2.46  120.44  139.50
 2016  21  0.723   2.17  217.08   -2.38  107.85  141.10
 2016  22  0.723   2.10  218.69   -2.29   95.27  142.70
 2016  23  0.723   2.02  220.29   -2.20   82.74  144.31
 2016  24  0.723   1.95  221.89   -2.12   70.16  145.91
 2016  25  0.723   1.87  223.49   -2.03   57.57  147.51
 2016  26  0.724   1.79  225.09   -1.93   44.98  149.11
 2016  27  0.724   1.71  226.69   -1.84   32.39  150.71
 2016  28  0.724   1.62  228.29   -1.74   19.80  152.30
 2016  29  0.724   1.54  229.89   -1.65    7.21  153.90
 2016  30  0.724   1.45  231.49   -1.55  354.62  155.50
 2016  31  0.724   1.37  233.08   -1.45  342.03  157.09
 2016  32  0.724   1.28  234.68   -1.35  329.44  158.69
 2016  33  0.725   1.19  236.27   -1.25  316.85  160.28
 2016  34  0.725   1.10  237.87   -1.15  304.25  161.88
 2016  35  0.725   1.01  239.46   -1.05  291.66  163.47
 2016  36  0.725   0.92  241.05   -0.94  279.06  165.06
 2016  37  0.725   0.83  242.65   -0.84  266.47  166.65
 2016  38  0.725   0.74  244.24   -0.74  253.87  168.25
 2016  39  0.725   0.65  245.83   -0.63  241.27  169.84
 2016  40  0.725   0.56  247.42   -0.53  228.68  171.43
 2016  41  0.726   0.46  249.01   -0.42  216.08  173.01
 2016  42  0.726   0.37  250.60   -0.31  203.48  174.60
 2016  43  0.726   0.27  252.19   -0.21  190.94  176.19
 2016  44  0.726   0.18  253.78   -0.10  178.34  177.78
 2016  45  0.726   0.09  255.37    0.01  165.74  179.37
 2016  46  0.726  -0.01  256.95    0.11  153.14  180.95
 2016  47  0.726  -0.10  258.54    0.22  140.54  182.54
 2016  48  0.726  -0.20  260.13    0.33  127.94  184.12
 2016  49  0.726  -0.29  261.71    0.43  115.33  185.71
 2016  50  0.727  -0.38  263.30    0.54  102.73  187.29
 2016  51  0.727  -0.48  264.88    0.64   90.13  188.88
 2016  52  0.727  -0.57  266.47    0.75   77.52  190.46
 2016  53  0.727  -0.66  268.05    0.85   64.92  192.04
 2016  54  0.727  -0.75  269.63    0.96   52.32  193.63
 2016  55  0.727  -0.84  271.22    1.06   39.71  195.21
 2016  56  0.727  -0.94  272.80    1.16   27.11  196.79
 2016  57  0.727  -1.03  274.38    1.26   14.50  198.38
 2016  58  0.727  -1.11  275.97    1.36    1.90  199.96
 2016  59  0.727  -1.20  277.55    1.46  349.29  201.54
 2016  60  0.727  -1.29  279.13    1.56  336.68  203.12
 2016  61  0.728  -1.38  280.71    1.65  324.08  204.70
 2016  62  0.728  -1.46  282.30    1.75  311.47  206.28
 2016  63  0.728  -1.55  283.88    1.84  298.93  207.87
 2016  64  0.728  -1.63  285.46    1.94  286.32  209.45
 2016  65  0.728  -1.71  287.04    2.03  273.71  211.03
 2016  66  0.728  -1.79  288.62    2.12  261.11  212.61
 2016  67  0.728  -1.87  290.20    2.20  248.50  214.19
 2016  68  0.728  -1.95  291.78    2.29  235.89  215.77
 2016  69  0.728  -2.02  293.36    2.37  223.29  217.35
 2016  70  0.728  -2.10  294.94    2.46  210.68  218.93
