 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  0.325  -2.15   30.68    3.00  205.16  314.72
 2016   2  0.321  -1.47   36.42    3.14  196.76  320.51
 2016   3  0.317  -0.76   42.28    3.26  188.55  326.42
 2016   4  0.314  -0.02   48.26    3.34  180.39  332.45
 2016   5  0.312   0.72   54.33    3.38  172.33  338.58
 2016   6  0.310   1.47   60.49    3.39  164.36  344.79
 2016   7  0.308   2.20   66.71    3.35  156.44  351.06
 2016   8  0.308   2.92   72.97    3.28  148.56  357.37
 2016   9  0.308   3.60   79.26    3.16  140.69    3.69
 2016  10  0.308   4.24   85.55    3.01  132.82   10.01
 2016  11  0.309   4.82   91.82    2.82  124.91   16.29
 2016  12  0.311   5.35   98.05    2.60  116.96   22.52
 2016  13  0.313   5.80  104.21    2.35  108.92   28.67
 2016  14  0.316   6.18  110.30    2.08  100.80   34.73
 2016  15  0.320   6.49  116.28    1.79   92.56   40.68
 2016  16  0.323   6.73  122.14    1.49   84.19   46.51
 2016  17  0.328   6.89  127.87    1.18   75.69   52.19
 2016  18  0.332   6.98  133.45    0.86   67.04   57.73
 2016  19  0.337   7.00  138.88    0.55   58.23   63.11
 2016  20  0.343   6.97  144.15    0.25   49.26   68.32
 2016  21  0.348   6.88  149.24   -0.05   40.13   73.38
 2016  22  0.354   6.75  154.17   -0.34   30.83   78.26
 2016  23  0.360   6.57  158.94   -0.62   21.43   82.99
 2016  24  0.365   6.35  163.54   -0.88   11.81   87.56
 2016  25  0.371   6.10  167.98   -1.13    2.04   91.98
 2016  26  0.377   5.83  172.27   -1.37  352.12   96.25
 2016  27  0.383   5.53  176.42   -1.59  342.07  100.38
 2016  28  0.388   5.22  180.43   -1.79  331.89  104.39
 2016  29  0.394   4.89  184.32   -1.98  321.59  108.27
 2016  30  0.399   4.55  188.10   -2.16  311.18  112.05
 2016  31  0.405   4.20  191.77   -2.32  300.67  115.73
 2016  32  0.410   3.84  195.35   -2.47  290.06  119.31
 2016  33  0.415   3.47  198.84   -2.61  279.38  122.82
 2016  34  0.420   3.10  202.25   -2.74  268.62  126.24
 2016  35  0.424   2.73  205.59   -2.85  257.79  129.60
 2016  36  0.429   2.36  208.87   -2.95  246.90  132.90
 2016  37  0.433   1.98  212.08   -3.04  235.95  136.14
 2016  38  0.437   1.61  215.24   -3.12  224.95  139.32
 2016  39  0.441   1.23  218.35   -3.19  213.90  142.46
 2016  40  0.445   0.86  221.41   -3.24  202.80  145.55
 2016  41  0.448   0.49  224.43   -3.29  191.65  148.59
 2016  42  0.451   0.13  227.41   -3.33  180.47  151.59
 2016  43  0.454  -0.23  230.34   -3.36  169.31  154.56
 2016  44  0.456  -0.59  233.24   -3.38  158.04  157.48
 2016  45  0.459  -0.94  236.11   -3.39  146.75  160.37
 2016  46  0.461  -1.28  238.94   -3.39  135.42  163.23
 2016  47  0.462  -1.62  241.75   -3.38  124.06  166.06
 2016  48  0.464  -1.95  244.53   -3.37  112.68  168.87
 2016  49  0.465  -2.27  247.29   -3.35  101.27  171.65
 2016  50  0.466  -2.59  250.04   -3.32   89.85  174.41
 2016  51  0.466  -2.90  252.77   -3.28   78.42  177.17
 2016  52  0.467  -3.20  255.50   -3.24   66.97  179.91
 2016  53  0.467  -3.49  258.22   -3.18   55.52  182.65
 2016  54  0.466  -3.78  260.95   -3.12   44.08  185.39
 2016  55  0.466  -4.05  263.68   -3.06   32.64  188.14
 2016  56  0.465  -4.32  266.43   -2.98   21.21  190.89
 2016  57  0.464  -4.59  269.20   -2.90    9.79  193.67
 2016  58  0.463  -4.84  271.99   -2.81  358.40  196.46
 2016  59  0.461  -5.08  274.81   -2.72  347.03  199.28
 2016  60  0.459  -5.31  277.65   -2.61  335.68  202.12
 2016  61  0.457  -5.54  280.53   -2.50  324.37  205.00
 2016  62  0.455  -5.75  283.44   -2.38  313.09  207.91
 2016  63  0.452  -5.95  286.40   -2.25  301.91  210.85
 2016  64  0.449  -6.13  289.39   -2.12  290.71  213.83
 2016  65  0.446  -6.30  292.43   -1.98  279.54  216.85
 2016  66  0.442  -6.46  295.51   -1.83  268.42  219.92
 2016  67  0.439  -6.59  298.64   -1.67  257.34  223.03
 2016  68  0.435  -6.71  301.83   -1.50  246.32  226.19
 2016  69  0.430  -6.82  305.06   -1.33  235.34  229.40
 2016  70  0.426  -6.90  308.36   -1.15  224.42  232.67
 2016  71  0.421  -6.96  311.71   -0.96  213.56  236.00
 2016  72  0.417  -6.99  315.14   -0.77  202.77  239.39
 2016  73  0.412  -7.00  318.64   -0.57  192.05  242.86
 2016  74  0.407  -6.99  322.22   -0.36  181.41  246.41
 2016  75  0.401  -6.95  325.89   -0.14  170.86  250.05
 2016  76  0.396  -6.87  329.66    0.08  160.41  253.78
