 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  5.410   1.16  163.16   -6.07  337.58   87.15
 2016   2  5.411   1.16  163.23   -6.07  323.47   87.22
 2016   3  5.411   1.16  163.31   -6.07  309.43   87.30
 2016   4  5.411   1.16  163.39   -6.07  295.32   87.38
 2016   5  5.411   1.16  163.46   -6.07  281.21   87.46
 2016   6  5.411   1.16  163.54   -6.07  267.10   87.53
 2016   7  5.412   1.16  163.62   -6.07  252.99   87.61
 2016   8  5.412   1.16  163.69   -6.07  238.88   87.69
 2016   9  5.412   1.16  163.77   -6.07  224.76   87.76
 2016  10  5.412   1.16  163.85   -6.07  210.65   87.84
 2016  11  5.412   1.16  163.92   -6.07  196.54   87.92
 2016  12  5.413   1.17  164.00   -6.07  182.43   88.00
 2016  13  5.413   1.17  164.08   -6.07  168.32   88.07
 2016  14  5.413   1.17  164.15   -6.07  154.21   88.15
 2016  15  5.413   1.17  164.23   -6.07  140.10   88.23
 2016  16  5.413   1.17  164.31   -6.07  125.99   88.30
 2016  17  5.413   1.17  164.38   -6.07  111.88   88.38
 2016  18  5.414   1.17  164.46   -6.07   97.77   88.46
 2016  19  5.414   1.17  164.54   -6.07   83.66   88.54
 2016  20  5.414   1.17  164.61   -6.07   69.55   88.61
 2016  21  5.414   1.17  164.69   -6.06   55.44   88.69
 2016  22  5.414   1.17  164.77   -6.06   41.33   88.77
 2016  23  5.415   1.17  164.84   -6.06   27.28   88.84
 2016  24  5.415   1.17  164.92   -6.06   13.17   88.92
 2016  25  5.415   1.18  165.00   -6.06  359.06   89.00
 2016  26  5.415   1.18  165.07   -6.06  344.95   89.08
 2016  27  5.415   1.18  165.15   -6.06  330.84   89.15
 2016  28  5.416   1.18  165.23   -6.06  316.73   89.23
 2016  29  5.416   1.18  165.30   -6.06  302.62   89.31
 2016  30  5.416   1.18  165.38   -6.06  288.51   89.38
 2016  31  5.416   1.18  165.46   -6.06  274.40   89.46
 2016  32  5.416   1.18  165.53   -6.06  260.29   89.54
 2016  33  5.416   1.18  165.61   -6.06  246.18   89.61
 2016  34  5.417   1.18  165.69   -6.06  232.07   89.69
 2016  35  5.417   1.18  165.76   -6.06  217.96   89.77
 2016  36  5.417   1.18  165.84   -6.06  203.85   89.85
 2016  37  5.417   1.18  165.92   -6.05  189.74   89.92
 2016  38  5.417   1.18  165.99   -6.05  175.62   90.00
 2016  39  5.418   1.19  166.07   -6.05  161.51   90.08
 2016  40  5.418   1.19  166.15   -6.05  147.40   90.15
 2016  41  5.418   1.19  166.22   -6.05  133.29   90.23
 2016  42  5.418   1.19  166.30   -6.05  119.18   90.31
 2016  43  5.418   1.19  166.38   -6.05  105.13   90.38
 2016  44  5.418   1.19  166.45   -6.05   91.02   90.46
 2016  45  5.419   1.19  166.53   -6.05   76.91   90.54
 2016  46  5.419   1.19  166.61   -6.05   62.80   90.62
 2016  47  5.419   1.19  166.68   -6.05   48.69   90.69
 2016  48  5.419   1.19  166.76   -6.05   34.58   90.77
 2016  49  5.419   1.19  166.84   -6.05   20.47   90.85
 2016  50  5.420   1.19  166.91   -6.04    6.36   90.92
 2016  51  5.420   1.19  166.99   -6.04  352.25   91.00
 2016  52  5.420   1.19  167.07   -6.04  338.14   91.08
 2016  53  5.420   1.20  167.14   -6.04  324.03   91.15
 2016  54  5.420   1.20  167.22   -6.04  309.92   91.23
 2016  55  5.420   1.20  167.29   -6.04  295.81   91.31
 2016  56  5.421   1.20  167.37   -6.04  281.70   91.38
 2016  57  5.421   1.20  167.45   -6.04  267.59   91.46
 2016  58  5.421   1.20  167.52   -6.04  253.48   91.54
 2016  59  5.421   1.20  167.60   -6.04  239.37   91.62
 2016  60  5.421   1.20  167.68   -6.04  225.25   91.69
 2016  61  5.421   1.20  167.75   -6.03  211.14   91.77
 2016  62  5.422   1.20  167.83   -6.03  197.03   91.85
 2016  63  5.422   1.20  167.91   -6.03  182.98   91.92
 2016  64  5.422   1.20  167.98   -6.03  168.87   92.00
 2016  65  5.422   1.20  168.06   -6.03  154.76   92.08
 2016  66  5.422   1.20  168.14   -6.03  140.65   92.15
 2016  67  5.422   1.21  168.21   -6.03  126.54   92.23
 2016  68  5.423   1.21  168.29   -6.03  112.43   92.31
 2016  69  5.423   1.21  168.37   -6.03   98.32   92.38
 2016  70  5.423   1.21  168.44   -6.02   84.21   92.46
 2016  71  5.423   1.21  168.52   -6.02   70.10   92.54
 2016  72  5.423   1.21  168.59   -6.02   55.99   92.61
 2016  73  5.423   1.21  168.67   -6.02   41.88   92.69
 2016  74  5.424   1.21  168.75   -6.02   27.77   92.77
 2016  75  5.424   1.21  168.82   -6.02   13.66   92.84
 2016  76  5.424   1.21  168.90   -6.02  359.55   92.92
 2016  77  5.424   1.21  168.98   -6.02  345.44   93.00
 2016  78  5.424   1.21  169.05   -6.02  331.32   93.07
 2016  79  5.424   1.21  169.13   -6.01  317.21   93.15
 2016  80  5.425   1.21  169.21   -6.01  303.10   93.23
 2016  81  5.425   1.21  169.28   -6.01  288.99   93.30
 2016  82  5.425   1.21  169.36   -6.01  274.88   93.38
 2016  83  5.425   1.22  169.44   -6.01  260.83   93.46
 2016  84  5.425   1.22  169.51   -6.01  246.72   93.54
 2016  85  5.425   1.22  169.59   -6.01  232.61   93.61
 2016  86  5.426   1.22  169.66   -6.01  218.50   93.69
 2016  87  5.426   1.22  169.74   -6.01  204.39   93.77
 2016  88  5.426   1.22  169.82   -6.00  190.28   93.84
 2016  89  5.426   1.22  169.89   -6.00  176.17   93.92
 2016  90  5.426   1.22  169.97   -6.00  162.06   94.00
 2016  91  5.426   1.22  170.05   -6.00  147.95   94.07
 2016  92  5.427   1.22  170.12   -6.00  133.84   94.15
 2016  93  5.427   1.22  170.20   -6.00  119.73   94.23
 2016  94  5.427   1.22  170.28   -6.00  105.61   94.30
 2016  95  5.427   1.22  170.35   -5.99   91.50   94.38
 2016  96  5.427   1.22  170.43   -5.99   77.39   94.46
 2016  97  5.427   1.22  170.50   -5.99   63.28   94.53
 2016  98  5.428   1.22  170.58   -5.99   49.17   94.61
 2016  99  5.428   1.23  170.66   -5.99   35.06   94.69
 2016 100  5.428   1.23  170.73   -5.99   20.95   94.76
 2016 101  5.428   1.23  170.81   -5.99    6.84   94.84
 2016 102  5.428   1.23  170.89   -5.98  352.73   94.92
 2016 103  5.428   1.23  170.96   -5.98  338.68   94.99
 2016 104  5.428   1.23  171.04   -5.98  324.57   95.07
 2016 105  5.429   1.23  171.12   -5.98  310.46   95.15
 2016 106  5.429   1.23  171.19   -5.98  296.35   95.22
 2016 107  5.429   1.23  171.27   -5.98  282.24   95.30
 2016 108  5.429   1.23  171.34   -5.98  268.13   95.38
 2016 109  5.429   1.23  171.42   -5.97  254.01   95.45
 2016 110  5.429   1.23  171.50   -5.97  239.90   95.53
 2016 111  5.430   1.23  171.57   -5.97  225.79   95.61
 2016 112  5.430   1.23  171.65   -5.97  211.68   95.68
 2016 113  5.430   1.23  171.73   -5.97  197.57   95.76
 2016 114  5.430   1.23  171.80   -5.97  183.46   95.84
 2016 115  5.430   1.23  171.88   -5.97  169.35   95.91
 2016 116  5.430   1.24  171.95   -5.96  155.24   95.99
 2016 117  5.430   1.24  172.03   -5.96  141.13   96.07
 2016 118  5.431   1.24  172.11   -5.96  127.02   96.14
 2016 119  5.431   1.24  172.18   -5.96  112.91   96.22
 2016 120  5.431   1.24  172.26   -5.96   98.80   96.30
 2016 121  5.431   1.24  172.34   -5.96   84.68   96.37
 2016 122  5.431   1.24  172.41   -5.95   70.57   96.45
 2016 123  5.431   1.24  172.49   -5.95   56.46   96.52
 2016 124  5.431   1.24  172.56   -5.95   42.41   96.60
 2016 125  5.432   1.24  172.64   -5.95   28.30   96.68
 2016 126  5.432   1.24  172.72   -5.95   14.19   96.75
 2016 127  5.432   1.24  172.79   -5.95    0.08   96.83
 2016 128  5.432   1.24  172.87   -5.94  345.97   96.91
 2016 129  5.432   1.24  172.94   -5.94  331.86   96.98
 2016 130  5.432   1.24  173.02   -5.94  317.75   97.06
 2016 131  5.432   1.24  173.10   -5.94  303.64   97.14
 2016 132  5.433   1.24  173.17   -5.94  289.53   97.21
 2016 133  5.433   1.24  173.25   -5.94  275.42   97.29
