 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1 19.928  -0.63   19.89    5.37  194.50  304.06
 2016   2 19.928  -0.63   19.90    5.37  180.32  304.07
 2016   3 19.928  -0.63   19.91    5.37  166.21  304.08
 2016   4 19.928  -0.63   19.92    5.37  152.03  304.09
 2016   5 19.928  -0.63   19.93    5.37  137.86  304.11
 2016   6 19.928  -0.63   19.94    5.37  123.68  304.12
 2016   7 19.927  -0.63   19.95    5.37  109.50  304.13
 2016   8 19.927  -0.63   19.96    5.37   95.33  304.14
 2016   9 19.927  -0.63   19.97    5.37   81.15  304.15
 2016  10 19.927  -0.63   19.98    5.37   66.97  304.16
 2016  11 19.927  -0.63   19.99    5.37   52.80  304.17
 2016  12 19.927  -0.63   20.01    5.37   38.62  304.18
 2016  13 19.927  -0.63   20.02    5.37   24.44  304.19
 2016  14 19.927  -0.63   20.03    5.36   10.27  304.20
 2016  15 19.927  -0.63   20.04    5.36  356.09  304.21
 2016  16 19.927  -0.63   20.05    5.36  341.91  304.23
 2016  17 19.927  -0.63   20.06    5.36  327.74  304.24
 2016  18 19.926  -0.63   20.07    5.36  313.56  304.25
 2016  19 19.926  -0.63   20.08    5.36  299.38  304.26
 2016  20 19.926  -0.63   20.09    5.36  285.21  304.27
 2016  21 19.926  -0.63   20.10    5.36  271.03  304.28
 2016  22 19.926  -0.63   20.11    5.36  256.85  304.29
 2016  23 19.926  -0.63   20.13    5.36  242.74  304.30
 2016  24 19.926  -0.63   20.14    5.36  228.56  304.31
 2016  25 19.926  -0.63   20.15    5.36  214.39  304.32
 2016  26 19.926  -0.63   20.16    5.36  200.21  304.33
 2016  27 19.926  -0.63   20.17    5.36  186.03  304.35
 2016  28 19.926  -0.63   20.18    5.36  171.86  304.36
 2016  29 19.925  -0.63   20.19    5.35  157.68  304.37
 2016  30 19.925  -0.63   20.20    5.35  143.50  304.38
 2016  31 19.925  -0.63   20.21    5.35  129.33  304.39
 2016  32 19.925  -0.63   20.22    5.35  115.15  304.40
 2016  33 19.925  -0.63   20.23    5.35  100.97  304.41
 2016  34 19.925  -0.63   20.25    5.35   86.80  304.42
 2016  35 19.925  -0.63   20.26    5.35   72.62  304.43
 2016  36 19.925  -0.63   20.27    5.35   58.44  304.44
 2016  37 19.925  -0.63   20.28    5.35   44.27  304.45
 2016  38 19.925  -0.63   20.29    5.35   30.09  304.47
 2016  39 19.924  -0.63   20.30    5.35   15.91  304.48
 2016  40 19.924  -0.63   20.31    5.35    1.74  304.49
 2016  41 19.924  -0.63   20.32    5.35  347.56  304.50
 2016  42 19.924  -0.63   20.33    5.35  333.38  304.51
 2016  43 19.924  -0.63   20.34    5.34  319.27  304.52
 2016  44 19.924  -0.63   20.35    5.34  305.09  304.53
 2016  45 19.924  -0.63   20.37    5.34  290.92  304.54
 2016  46 19.924  -0.63   20.38    5.34  276.74  304.55
 2016  47 19.924  -0.63   20.39    5.34  262.56  304.56
 2016  48 19.924  -0.63   20.40    5.34  248.39  304.57
 2016  49 19.924  -0.63   20.41    5.34  234.21  304.59
 2016  50 19.923  -0.63   20.42    5.34  220.03  304.60
 2016  51 19.923  -0.63   20.43    5.34  205.86  304.61
 2016  52 19.923  -0.63   20.44    5.34  191.68  304.62
 2016  53 19.923  -0.63   20.45    5.34  177.50  304.63
 2016  54 19.923  -0.63   20.46    5.34  163.33  304.64
 2016  55 19.923  -0.63   20.48    5.34  149.15  304.65
 2016  56 19.923  -0.63   20.49    5.34  134.97  304.66
 2016  57 19.923  -0.63   20.50    5.34  120.80  304.67
 2016  58 19.923  -0.63   20.51    5.33  106.62  304.68
 2016  59 19.923  -0.63   20.52    5.33   92.44  304.69
 2016  60 19.922  -0.63   20.53    5.33   78.27  304.71
 2016  61 19.922  -0.63   20.54    5.33   64.09  304.72
 2016  62 19.922  -0.63   20.55    5.33   49.91  304.73
 2016  63 19.922  -0.63   20.56    5.33   35.80  304.74
 2016  64 19.922  -0.63   20.57    5.33   21.62  304.75
 2016  65 19.922  -0.63   20.58    5.33    7.45  304.76
 2016  66 19.922  -0.63   20.60    5.33  353.27  304.77
 2016  67 19.922  -0.63   20.61    5.33  339.09  304.78
 2016  68 19.922  -0.63   20.62    5.33  324.92  304.79
 2016  69 19.922  -0.63   20.63    5.33  310.74  304.80
 2016  70 19.922  -0.63   20.64    5.33  296.56  304.81
 2016  71 19.921  -0.63   20.65    5.33  282.39  304.83
 2016  72 19.921  -0.63   20.66    5.32  268.21  304.84
 2016  73 19.921  -0.63   20.67    5.32  254.03  304.85
 2016  74 19.921  -0.63   20.68    5.32  239.86  304.86
 2016  75 19.921  -0.63   20.69    5.32  225.68  304.87
 2016  76 19.921  -0.63   20.70    5.32  211.51  304.88
 2016  77 19.921  -0.62   20.72    5.32  197.33  304.89
 2016  78 19.921  -0.62   20.73    5.32  183.15  304.90
 2016  79 19.921  -0.62   20.74    5.32  168.98  304.91
 2016  80 19.921  -0.62   20.75    5.32  154.80  304.92
 2016  81 19.920  -0.62   20.76    5.32  140.62  304.93
 2016  82 19.920  -0.62   20.77    5.32  126.45  304.95
 2016  83 19.920  -0.62   20.78    5.32  112.33  304.96
 2016  84 19.920  -0.62   20.79    5.32   98.15  304.97
 2016  85 19.920  -0.62   20.80    5.32   83.98  304.98
 2016  86 19.920  -0.62   20.81    5.31   69.80  304.99
 2016  87 19.920  -0.62   20.83    5.31   55.63  305.00
 2016  88 19.920  -0.62   20.84    5.31   41.45  305.01
 2016  89 19.920  -0.62   20.85    5.31   27.27  305.02
 2016  90 19.920  -0.62   20.86    5.31   13.10  305.03
 2016  91 19.920  -0.62   20.87    5.31  358.92  305.04
 2016  92 19.919  -0.62   20.88    5.31  344.74  305.05
 2016  93 19.919  -0.62   20.89    5.31  330.57  305.07
 2016  94 19.919  -0.62   20.90    5.31  316.39  305.08
 2016  95 19.919  -0.62   20.91    5.31  302.21  305.09
 2016  96 19.919  -0.62   20.92    5.31  288.04  305.10
 2016  97 19.919  -0.62   20.93    5.31  273.86  305.11
 2016  98 19.919  -0.62   20.95    5.31  259.68  305.12
 2016  99 19.919  -0.62   20.96    5.31  245.51  305.13
 2016 100 19.919  -0.62   20.97    5.31  231.33  305.14
 2016 101 19.919  -0.62   20.98    5.30  217.15  305.15
 2016 102 19.918  -0.62   20.99    5.30  202.98  305.16
 2016 103 19.918  -0.62   21.00    5.30  188.86  305.17
 2016 104 19.918  -0.62   21.01    5.30  174.69  305.19
 2016 105 19.918  -0.62   21.02    5.30  160.51  305.20
 2016 106 19.918  -0.62   21.03    5.30  146.33  305.21
 2016 107 19.918  -0.62   21.04    5.30  132.16  305.22
 2016 108 19.918  -0.62   21.05    5.30  117.98  305.23
 2016 109 19.918  -0.62   21.07    5.30  103.80  305.24
 2016 110 19.918  -0.62   21.08    5.30   89.63  305.25
 2016 111 19.918  -0.62   21.09    5.30   75.45  305.26
 2016 112 19.917  -0.62   21.10    5.30   61.27  305.27
 2016 113 19.917  -0.62   21.11    5.30   47.10  305.28
 2016 114 19.917  -0.62   21.12    5.30   32.92  305.30
 2016 115 19.917  -0.62   21.13    5.29   18.74  305.31
 2016 116 19.917  -0.62   21.14    5.29    4.57  305.32
 2016 117 19.917  -0.62   21.15    5.29  350.39  305.33
 2016 118 19.917  -0.62   21.16    5.29  336.21  305.34
 2016 119 19.917  -0.62   21.17    5.29  322.04  305.35
 2016 120 19.917  -0.62   21.19    5.29  307.86  305.36
 2016 121 19.917  -0.62   21.20    5.29  293.68  305.37
 2016 122 19.917  -0.62   21.21    5.29  279.51  305.38
 2016 123 19.916  -0.62   21.22    5.29  265.33  305.39
 2016 124 19.916  -0.62   21.23    5.29  251.22  305.40
 2016 125 19.916  -0.62   21.24    5.29  237.04  305.42
 2016 126 19.916  -0.62   21.25    5.29  222.86  305.43
 2016 127 19.916  -0.62   21.26    5.29  208.69  305.44
 2016 128 19.916  -0.62   21.27    5.29  194.51  305.45
 2016 129 19.916  -0.62   21.28    5.28  180.33  305.46
 2016 130 19.916  -0.62   21.30    5.28  166.16  305.47
 2016 131 19.916  -0.62   21.31    5.28  151.98  305.48
 2016 132 19.916  -0.62   21.32    5.28  137.80  305.49
 2016 133 19.915  -0.62   21.33    5.28  123.63  305.50
 2016 134 19.915  -0.62   21.34    5.28  109.45  305.51
 2016 135 19.915  -0.62   21.35    5.28   95.27  305.52
 2016 136 19.915  -0.62   21.36    5.28   81.10  305.54
 2016 137 19.915  -0.62   21.37    5.28   66.92  305.55
 2016 138 19.915  -0.62   21.38    5.28   52.74  305.56
 2016 139 19.915  -0.62   21.39    5.28   38.57  305.57
 2016 140 19.915  -0.62   21.40    5.28   24.39  305.58
 2016 141 19.915  -0.62   21.42    5.28   10.22  305.59
 2016 142 19.915  -0.62   21.43    5.28  356.04  305.60
 2016 143 19.914  -0.62   21.44    5.27  341.86  305.61
 2016 144 19.914  -0.62   21.45    5.27  327.75  305.62
 2016 145 19.914  -0.62   21.46    5.27  313.57  305.63
 2016 146 19.914  -0.62   21.47    5.27  299.39  305.64
 2016 147 19.914  -0.62   21.48    5.27  285.22  305.66
 2016 148 19.914  -0.62   21.49    5.27  271.04  305.67
 2016 149 19.914  -0.62   21.50    5.27  256.86  305.68
 2016 150 19.914  -0.62   21.51    5.27  242.69  305.69
 2016 151 19.914  -0.62   21.53    5.27  228.51  305.70
 2016 152 19.914  -0.62   21.54    5.27  214.34  305.71
 2016 153 19.913  -0.62   21.55    5.27  200.16  305.72
 2016 154 19.913  -0.62   21.56    5.27  185.98  305.73
 2016 155 19.913  -0.62   21.57    5.27  171.81  305.74
 2016 156 19.913  -0.62   21.58    5.27  157.63  305.75
 2016 157 19.913  -0.62   21.59    5.26  143.45  305.76
 2016 158 19.913  -0.62   21.60    5.26  129.28  305.78
 2016 159 19.913  -0.62   21.61    5.26  115.10  305.79
 2016 160 19.913  -0.62   21.62    5.26  100.92  305.80
 2016 161 19.913  -0.62   21.63    5.26   86.75  305.81
 2016 162 19.913  -0.62   21.65    5.26   72.57  305.82
 2016 163 19.913  -0.62   21.66    5.26   58.39  305.83
 2016 164 19.912  -0.62   21.67    5.26   44.28  305.84
 2016 165 19.912  -0.62   21.68    5.26   30.10  305.85
 2016 166 19.912  -0.62   21.69    5.26   15.93  305.86
 2016 167 19.912  -0.62   21.70    5.26    1.75  305.87
 2016 168 19.912  -0.62   21.71    5.26  347.57  305.89
 2016 169 19.912  -0.62   21.72    5.26  333.40  305.90
 2016 170 19.912  -0.62   21.73    5.26  319.22  305.91
 2016 171 19.912  -0.62   21.74    5.25  305.04  305.92
 2016 172 19.912  -0.62   21.75    5.25  290.87  305.93
 2016 173 19.912  -0.62   21.77    5.25  276.69  305.94
 2016 174 19.911  -0.62   21.78    5.25  262.51  305.95
 2016 175 19.911  -0.62   21.79    5.25  248.34  305.96
 2016 176 19.911  -0.62   21.80    5.25  234.16  305.97
 2016 177 19.911  -0.62   21.81    5.25  219.98  305.98
 2016 178 19.911  -0.62   21.82    5.25  205.81  305.99
 2016 179 19.911  -0.62   21.83    5.25  191.63  306.01
 2016 180 19.911  -0.62   21.84    5.25  177.45  306.02
 2016 181 19.911  -0.62   21.85    5.25  163.28  306.03
 2016 182 19.911  -0.62   21.86    5.25  149.10  306.04
 2016 183 19.911  -0.62   21.88    5.25  134.92  306.05
 2016 184 19.910  -0.62   21.89    5.25  120.81  306.06
 2016 185 19.910  -0.62   21.90    5.24  106.63  306.07
 2016 186 19.910  -0.62   21.91    5.24   92.46  306.08
 2016 187 19.910  -0.62   21.92    5.24   78.28  306.09
 2016 188 19.910  -0.62   21.93    5.24   64.10  306.10
 2016 189 19.910  -0.62   21.94    5.24   49.93  306.11
 2016 190 19.910  -0.62   21.95    5.24   35.75  306.13
 2016 191 19.910  -0.62   21.96    5.24   21.57  306.14
 2016 192 19.910  -0.61   21.97    5.24    7.40  306.15
 2016 193 19.910  -0.61   21.98    5.24  353.22  306.16
 2016 194 19.909  -0.61   22.00    5.24  339.04  306.17
 2016 195 19.909  -0.61   22.01    5.24  324.87  306.18
 2016 196 19.909  -0.61   22.02    5.24  310.69  306.19
 2016 197 19.909  -0.61   22.03    5.24  296.51  306.20
 2016 198 19.909  -0.61   22.04    5.24  282.34  306.21
 2016 199 19.909  -0.61   22.05    5.23  268.16  306.22
 2016 200 19.909  -0.61   22.06    5.23  253.98  306.23
 2016 201 19.909  -0.61   22.07    5.23  239.81  306.25
 2016 202 19.909  -0.61   22.08    5.23  225.63  306.26
