 YYYY DOY   AU     ELAT   ELON    HG_LAT  HG_LON  HGI_LON
 2016   1  1.658   1.52  174.47   -5.64  348.96   98.52
 2016   2  1.657   1.52  174.91   -5.63  335.21   98.96
 2016   3  1.657   1.51  175.36   -5.63  321.53   99.41
 2016   4  1.656   1.50  175.80   -5.63  307.79   99.85
 2016   5  1.656   1.49  176.24   -5.63  294.04  100.29
 2016   6  1.655   1.48  176.68   -5.63  280.30  100.74
 2016   7  1.655   1.47  177.12   -5.63  266.56  101.18
 2016   8  1.655   1.47  177.57   -5.63  252.81  101.63
 2016   9  1.654   1.46  178.01   -5.62  239.07  102.07
 2016  10  1.654   1.45  178.45   -5.62  225.33  102.52
 2016  11  1.653   1.44  178.89   -5.62  211.59  102.96
 2016  12  1.653   1.43  179.34   -5.61  197.85  103.41
 2016  13  1.652   1.42  179.78   -5.61  184.10  103.85
 2016  14  1.652   1.41  180.23   -5.60  170.36  104.30
 2016  15  1.651   1.40  180.67   -5.60  156.62  104.75
 2016  16  1.650   1.39  181.12   -5.59  142.88  105.19
 2016  17  1.650   1.38  181.56   -5.59  129.14  105.64
 2016  18  1.649   1.37  182.01   -5.58  115.40  106.09
 2016  19  1.649   1.36  182.45   -5.58  101.66  106.53
 2016  20  1.648   1.35  182.90   -5.57   87.92  106.98
 2016  21  1.648   1.34  183.34   -5.56   74.18  107.43
 2016  22  1.647   1.33  183.79   -5.56   60.44  107.88
 2016  23  1.646   1.32  184.24   -5.55   46.77  108.33
 2016  24  1.646   1.31  184.68   -5.54   33.03  108.78
 2016  25  1.645   1.30  185.13   -5.53   19.29  109.23
 2016  26  1.645   1.29  185.58   -5.53    5.55  109.68
 2016  27  1.644   1.28  186.03   -5.52  351.81  110.13
 2016  28  1.643   1.27  186.48   -5.51  338.08  110.58
 2016  29  1.643   1.26  186.93   -5.50  324.34  111.03
 2016  30  1.642   1.25  187.37   -5.49  310.60  111.48
 2016  31  1.641   1.24  187.82   -5.48  296.87  111.93
 2016  32  1.641   1.23  188.27   -5.47  283.13  112.38
 2016  33  1.640   1.22  188.72   -5.46  269.40  112.84
 2016  34  1.639   1.21  189.18   -5.44  255.66  113.29
 2016  35  1.638   1.20  189.63   -5.43  241.93  113.74
 2016  36  1.638   1.19  190.08   -5.42  228.20  114.20
 2016  37  1.637   1.17  190.53   -5.41  214.46  114.65
 2016  38  1.636   1.16  190.98   -5.40  200.73  115.10
 2016  39  1.635   1.15  191.44   -5.38  187.00  115.56
 2016  40  1.635   1.14  191.89   -5.37  173.26  116.01
 2016  41  1.634   1.13  192.34   -5.36  159.53  116.47
 2016  42  1.633   1.12  192.80   -5.34  145.80  116.92
 2016  43  1.632   1.11  193.25   -5.33  132.13  117.38
 2016  44  1.632   1.09  193.71   -5.31  118.40  117.84
 2016  45  1.631   1.08  194.16   -5.30  104.67  118.29
 2016  46  1.630   1.07  194.62   -5.28   90.94  118.75
 2016  47  1.629   1.06  195.07   -5.27   77.21  119.21
 2016  48  1.628   1.05  195.53   -5.25   63.48  119.67
 2016  49  1.628   1.03  195.99   -5.23   49.75  120.13
 2016  50  1.627   1.02  196.44   -5.22   36.02  120.59
 2016  51  1.626   1.01  196.90   -5.20   22.30  121.05
 2016  52  1.625   1.00  197.36   -5.18    8.57  121.51
 2016  53  1.624   0.98  197.82   -5.16  354.84  121.97
 2016  54  1.623   0.97  198.28   -5.15  341.12  122.43
 2016  55  1.622   0.96  198.74   -5.13  327.39  122.89
 2016  56  1.622   0.95  199.20   -5.11  313.66  123.35
 2016  57  1.621   0.93  199.66   -5.09  299.94  123.81
 2016  58  1.620   0.92  200.12   -5.07  286.21  124.28
 2016  59  1.619   0.91  200.58   -5.05  272.49  124.74
 2016  60  1.618   0.89  201.05   -5.03  258.77  125.20
 2016  61  1.617   0.88  201.51   -5.01  245.04  125.67
 2016  62  1.616   0.87  201.97   -4.99  231.32  126.13
 2016  63  1.615   0.85  202.44   -4.97  217.66  126.60
 2016  64  1.614   0.84  202.90   -4.94  203.94  127.07
 2016  65  1.613   0.83  203.37   -4.92  190.22  127.53
 2016  66  1.612   0.81  203.83   -4.90  176.50  128.00
 2016  67  1.611   0.80  204.30   -4.88  162.78  128.47
 2016  68  1.610   0.79  204.77   -4.85  149.06  128.93
 2016  69  1.609   0.77  205.23   -4.83  135.34  129.40
 2016  70  1.608   0.76  205.70   -4.81  121.62  129.87
 2016  71  1.607   0.75  206.17   -4.78  107.90  130.34
 2016  72  1.606   0.73  206.64   -4.76   94.19  130.81
 2016  73  1.605   0.72  207.11   -4.73   80.47  131.28
 2016  74  1.604   0.70  207.58   -4.71   66.75  131.75
 2016  75  1.603   0.69  208.05   -4.68   53.04  132.23
 2016  76  1.602   0.68  208.52   -4.65   39.32  132.70
 2016  77  1.601   0.66  208.99   -4.63   25.61  133.17
 2016  78  1.600   0.65  209.47   -4.60   11.89  133.64
 2016  79  1.599   0.63  209.94   -4.57  358.18  134.12
 2016  80  1.598   0.62  210.41   -4.55  344.47  134.59
 2016  81  1.597   0.60  210.89   -4.52  330.76  135.07
 2016  82  1.596   0.59  211.36   -4.49  317.04  135.54
 2016  83  1.595   0.58  211.84   -4.46  303.40  136.02
 2016  84  1.594   0.56  212.32   -4.43  289.69  136.50
 2016  85  1.593   0.55  212.79   -4.40  275.98  136.98
 2016  86  1.592   0.53  213.27   -4.38  262.27  137.45
 2016  87  1.591   0.52  213.75   -4.35  248.56  137.93
 2016  88  1.589   0.50  214.23   -4.32  234.85  138.41
 2016  89  1.588   0.49  214.71   -4.28  221.14  138.89
 2016  90  1.587   0.47  215.19   -4.25  207.44  139.37
 2016  91  1.586   0.46  215.67   -4.22  193.73  139.86
 2016  92  1.585   0.44  216.15   -4.19  180.03  140.34
 2016  93  1.584   0.43  216.63   -4.16  166.32  140.82
 2016  94  1.583   0.41  217.12   -4.13  152.62  141.30
 2016  95  1.582   0.40  217.60   -4.09  138.91  141.79
 2016  96  1.580   0.38  218.08   -4.06  125.21  142.27
 2016  97  1.579   0.37  218.57   -4.03  111.51  142.76
 2016  98  1.578   0.35  219.05   -3.99   97.81  143.24
 2016  99  1.577   0.33  219.54   -3.96   84.11  143.73
 2016 100  1.576   0.32  220.03   -3.93   70.41  144.22
 2016 101  1.575   0.30  220.52   -3.89   56.71  144.71
 2016 102  1.573   0.29  221.00   -3.86   43.01  145.19
 2016 103  1.572   0.27  221.49   -3.82   29.37  145.68
 2016 104  1.571   0.26  221.98   -3.79   15.67  146.17
 2016 105  1.570   0.24  222.47   -3.75    1.98  146.66
 2016 106  1.569   0.23  222.97   -3.71  348.28  147.16
 2016 107  1.567   0.21  223.46   -3.68  334.59  147.65
 2016 108  1.566   0.19  223.95   -3.64  320.89  148.14
 2016 109  1.565   0.18  224.45   -3.60  307.20  148.63
 2016 110  1.564   0.16  224.94   -3.57  293.50  149.13
